"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Orbit
1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT-TD,NR,USA,Hera Systems,Commercial,Earth Observation,0.0,566,576,0.0013312034078807242,36.9,96.08,22.0,2019-12-11 00:00:00,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859,LEO - Non-Polar Inclined
Aalto-1 ,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,0.0,497,517,0.0027085590465872156,97.45,94.7,4.5,2017-06-23 00:00:00,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,LEO - Sun-Synchronous
AAt-4,AAt-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,0.0,442,687,0.032671022803040406,98.2,95.9,1.0,2016-04-25 00:00:00,,University of Aalborg,Denmark,Guiana Space Center,Soyuz-2.1a,2016-025E,41460,LEO - Sun-Synchronous
"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,75.0,35778,35793,0.00019245326593192287,0.08,1436.03,6330.0,2014-02-06 00:00:00,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,GEO - Equatorial
ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,-75.0,35700,35700,0.0,0,1436.1,1800.0,2016-06-15 00:00:00,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,GEO - Equatorial
ABS-3A ,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,-3.0,35788,35803,0.00019240389425481972,0.1,1436.0,2000.0,2015-03-02 00:00:00,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,GEO - Equatorial
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,75.0,35780,35793,0.00016678855060749522,0.01,1436.1,4143.0,2004-03-13 00:00:00,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,GEO - Equatorial
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,159.0,35777,35794,0.00021811370138951258,0.01,1436.08,2894.0,1999-09-26 00:00:00,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,GEO - Equatorial
Adelis-Sampson 1,Adelis-Sampson 1,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,0.0,538,561,0.0030793948319721514,97.5,95.5,9.0,2021-03-22 00:00:00,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022F,47937,LEO - Sun-Synchronous
Adelis-Sampson 2,Adelis-Sampson 2,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,0.0,539,599,0.007991475759190196,97.5,95.5,9.0,2021-03-22 00:00:00,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022H,47939,LEO - Sun-Synchronous
Adelis-Sampson 3,Adelis-Sampson 3,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,0.0,537,561,0.0032137118371719335,97.5,95.5,9.0,2021-03-22 00:00:00,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022M,47943,LEO - Sun-Synchronous
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA 311,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,0.0,35700,35800,0.0012841916013869269,0,1437.6,5400.0,2020-12-11 00:00:00,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2020-095A,47237,GEO - Equatorial
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,-26.0,35560,36013,0.005811939494245795,7.72,1436.14,5200.0,1998-05-09 00:00:00,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,GEO - Equatorial
