NORAD Number,COSPAR Number,Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
44859,2019-089H,LEO - Non-Polar Inclined,0.0,566,576,0.0013312034078807242,36.9,96.08,22.0,0.5
42775,2017-036L,LEO - Sun-Synchronous,0.0,497,517,0.0027085590465872156,97.45,94.7,4.5,2.0
41460,2016-025E,LEO - Sun-Synchronous,0.0,442,687,0.032671022803040406,98.2,95.9,1.0,
39508,2014-006A,GEO - Equatorial,75.0,35778,35793,0.00019245326593192287,0.08,1436.03,6330.0,15.0
41588,2016-038A,GEO - Equatorial,-75.0,35700,35700,0.0,0,1436.1,1800.0,15.0
40424,2015-010A,GEO - Equatorial,-3.0,35788,35803,0.00019240389425481972,0.1,1436.0,2000.0,15.0
28184,2004-007A,GEO - Equatorial,75.0,35780,35793,0.00016678855060749522,0.01,1436.1,4143.0,12.0
25924,1999-053A,GEO - Equatorial,159.0,35777,35794,0.00021811370138951258,0.01,1436.08,2894.0,15.0
47937,2021-022F,LEO - Sun-Synchronous,0.0,538,561,0.0030793948319721514,97.5,95.5,9.0,
47939,2021-022H,LEO - Sun-Synchronous,0.0,539,599,0.007991475759190196,97.5,95.5,9.0,
47943,2021-022M,LEO - Sun-Synchronous,0.0,537,561,0.0032137118371719335,97.5,95.5,9.0,
47237,2020-095A,GEO - Equatorial,0.0,35700,35800,0.0012841916013869269,0,1437.6,5400.0,
25336,1998-029A,GEO - Equatorial,-26.0,35560,36013,0.005811939494245795,7.72,1436.14,5200.0,
27937,2003-041A,GEO - Equatorial,68.0,35589,35984,0.005067805960766201,3.2,1436.1,5200.0,
33490,2009-001A,GEO - Equatorial,44.0,35714,35937,0.0028582048422860513,2.89,1438.8,5400.0,
37232,2010-063A,GEO - Equatorial,95.0,35500,35500,0.0,0,1436.0,5000.0,
38528,2012-034A,GEO - Equatorial,60.0,35771,35805,0.00043619942011135913,0,1436.1,5000.0,
41584,2016-036A,GEO - Equatorial,102.6,35613,35903,0.003723390596512852,7.51,1437.19,5000.0,
39256,2013-050A,GEO - Equatorial,152.1,35700,35803,0.0013226663927163459,4.2,1436.1,6169.0,14.0
43651,2018-079A,GEO - Equatorial,150.2,35781,35790,0.00011547195955915371,0.05,1436.1,6169.0,
44481,2019-051A,GEO - Equatorial,-94.39,35780,35810,0.0003848127244740893,6.4,1436.2,6169.0,
45465,2020-022B,GEO - Equatorial,0.0,35780,35780,0.0,0,1436.0,6169.0,
38254,2012-019A,GEO - Equatorial,-120.0,35772,35801,0.00037206676673979703,2.34,1436.1,6169.0,14.0
38760,2012-048C,LEO - Equatorial,0.0,480,790,0.04057591623036649,0.02,97.4,3.0,
43600,2018-066A,LEO,0.0,314,317,0.00042851021282673904,96.7,92.4,1367.0,3.0
44485,2019-022D,LEO - Non-Polar Inclined,0.0,469,481,0.001639344262295082,51.6,94.15,2.0,
44484,2019-022C,LEO - Non-Polar Inclined,0.0,471,483,0.0016384489350081922,51.6,94.15,2.0,
43861,2018-104N,LEO - Polar,0.0,495,511,0.0021691973969631237,85.03,94.6,4.0,
43849,2018-104A,LEO - Polar,0.0,492,511,0.0025769700257697002,85.3,94.6,4.0,
43556,2018-046C,LEO - Non-Polar Inclined,0.0,481,487,0.0008176614881439084,51.6,94.2,4.0,
43557,2018-046D,LEO - Non-Polar Inclined,0.0,481,487,0.0008176614881439084,51.6,94.2,4.0,
45114,2019-071D,LEO - Non-Polar Inclined,0.0,459,474,0.0020539504313295907,51.6,93.9,,
45116,2019-071F,LEO - Non-Polar Inclined,0.0,459,474,0.0020539504313295907,51.6,93.9,,
45117,2019-071G,LEO - Non-Polar Inclined,0.0,458,474,0.0021911804984935633,51.6,93.9,,
40965,2015-058B,LEO - Non-Polar Inclined,0.0,500,802,0.039363920750782065,64.78,97.74,1.5,
40045,2014-033AM,LEO - Sun-Synchronous,0.0,614,700,0.011192087454450807,97.98,97.88,5.0,3.0
40046,2014-033AN,LEO - Sun-Synchronous,0.0,614,700,0.011192087454450807,97.98,97.88,5.0,3.0
40966,2015-058C,LEO - Non-Polar Inclined,0.0,500,802,0.039363920750782065,64.6,97.4,2.0,
41853,2016-067F,LEO - Sun-Synchronous,0.0,569,584,0.001993885418051309,97.9,96.2,5.0,
41852,2016-067E,LEO - Sun-Synchronous,0.0,572,584,0.0015944724953494552,98,96.23,2.0,
33460,2008-065B,GEO - Equatorial,48.0,35764,35808,0.0005645223371224757,0.12,1436.08,3460.0,15.0
48270,2021-034C,LEO - Sun-Synchronous,0.0,609,613,0.0005268703898840885,97.8,95.8,9.0,
47440,2021-006AD,LEO - Sun-Synchronous,0.0,522,535,0.0017503702706341726,97.5,95.2,9.0,
31304,2007-015A,LEO - Sun-Synchronous,0.0,544,552,0.0010715242432360033,97.9,96.2,215.0,2.0
36797,2010-035C,LEO - Sun-Synchronous,0.0,615,632,0.00223184980963634,98,97.2,6.0,3.0
40075,2014-037G,LEO - Sun-Synchronous,0.0,625,631,0.0007867820613690008,98.4,97.27,6.0,3.0
43768,2018-099L,LEO - Sun-Synchronous,0.0,574,592,0.0023885350318471337,97.8,96.4,2.6,
44103,2019-018AB,LEO - Sun-Synchronous,0.0,490,506,0.0021721422753190334,97.5,94.6,2.3,
43174,2018-012A,GEO - Equatorial,-20.0,35777,35796,0.0002437678816571084,0,1436.0,3795.0,15.0
43039,2017-078A,GEO - Equatorial,-24.8,35744,35798,0.0006930896395933874,0.04,1436.1,5225.0,15.0
44824,2019-084A,LEO - Sun-Synchronous,0.0,397,414,0.002367358306642529,97.01,92.06,75.0,
